Sample	Region	StartPos	EndPos	Length	Missing_Sites	Median_Cov	Mean_Cov	Min_Cov	Max_Cov	Genome_Norm_Cov	cov1x.perc	cov5x.perc	cov8x.perc	cov20x.perc	cov100x.perc	cov250x.perc	bam.mapped.filt.readcount
TP_Discriminatory_SA1_20230426_barcode03.filt	all_58	19650	20165	516	0	114	112.9	75	118	inf	100	100	100	100	97.7	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_62	20302	20891	590	0	39	39.7	14	44	inf	100	100	100	99.7	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_70	27662	28203	542	0	79	77.8	38	81	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_17	47737	48285	549	0	69	68.3	40	71	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_25	60976	61550	575	0	54	53.5	30	56	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_55	101570	102136	567	0	119	117.9	90	122	inf	100	100	100	100	98.1	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_56	106712	107309	598	0	55	54.1	33	57	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_57	146443	147045	603	0	29	28	9	29	inf	100	100	100	99	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_59	189605	190126	522	0	47	46.3	28	48	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_60	214607	215180	574	0	38	37.7	12	39	inf	100	100	100	99.7	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_61	230092	230674	583	0	71	69.9	37	73	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_63	244634	245242	609	0	56	55.2	34	58	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_64	253222	253807	586	0	77	75.8	16	79	inf	100	100	100	99.8	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_65	254023	254580	558	0	74	73.9	27	77	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_66	264813	265404	592	0	117	116.1	83	121	inf	100	100	100	100	98.5	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_67	270955	271505	551	215	2	1.2	0	2	inf	61	0	0	0	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_68	311821	312449	629	0	70	69	29	74	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_69	321507	322061	555	0	104	102.5	41	108	inf	100	100	100	100	86.1	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_71	367685	368238	554	0	26	24.9	15	27	inf	100	100	100	98.9	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_72	372296	372861	566	0	136	134.3	69	140	inf	100	100	100	100	99.3	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_72	372296	372861	566	0	136	134.3	69	140	inf	100	100	100	100	99.3	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_73	375373	375947	575	0	83	81.9	40	85	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_5	415556	416117	562	0	49	48	32	50	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_6	453934	454454	521	0	91	89.8	46	93	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_7	460040	460586	547	0	131	129.1	65	135	inf	100	100	100	100	98.7	0	6032
